Diagnosis Group,discharges,cost,los,cost_per_day,economic_burden
SEPTICEMIA,163329,39477.63,8.84,4572.51,6447841830.0
SPONDYLOPATHIES/SPONDYLOARTHROPATHY (INCLUDING INFECTIVE),31907,37986.3,4.48,12757.17,1212028874.0
SCHIZOPHRENIA SPECTRUM AND OTHER PSYCHOTIC DISORDERS,35629,35486.96,17.27,2139.9,1264364898.0
CEREBRAL INFARCTION,31350,32666.94,6.84,5546.66,1024108569.0
HEART FAILURE,62409,28856.37,6.69,4413.16,1800897195.0
DIABETES MELLITUS WITH COMPLICATION,43779,28111.51,6.34,5215.69,1230693796.0
CARDIAC DYSRHYTHMIAS,37074,25338.32,3.66,11531.56,939392876.0
PNEUMONIA (EXCEPT THAT CAUSED BY TUBERCULOSIS),37143,20540.53,5.21,4224.05,762936906.0
URINARY TRACT INFECTIONS,33958,16950.23,4.9,3989.22,575595910.0
ALCOHOL-RELATED DISORDERS,39827,13733.39,5.98,3060.03,546959724.0
COMPLICATIONS SPECIFIED DURING CHILDBIRTH,37037,12143.74,2.5,5040.1,449767698.0
LIVEBORN,199051,10189.11,3.41,2352.73,2028152535.0
